ags,election_year,turnout,cdu_csu,spd,gruene,fdp,linke_pds,afd,bsw,winner_party,winner_voteshare,election_type,round,number_voters,eligible_voters
09775000,1980,0.2214,0.9752,,,,,,,CSU,0.9752,Landratswahl,hauptwahl,21346,96412
09775000,1985,0.4033,0.6615,,,,,,,CSU,0.6615,Landratswahl,hauptwahl,41358,102554
09775000,1990,0.6686,0.5181,,,,,,,CSU,0.5181,Landratswahl,hauptwahl,71195,106481
09775000,1996,0.593,0.555,,,,,,,CSU,0.555,Landratswahl,hauptwahl,66111,111490
09775000,2002,0.5461,0.6095,,,,,,,CSU,0.6095,Landratswahl,hauptwahl,64807,118663
09775000,2008,0.4942,0.6393,,,,,,,CSU,0.6393,Landratswahl,hauptwahl,60797,123019
09775000,2014,0.4663,0.5854,,,,,,,CSU,0.5854,Landratswahl,hauptwahl,60407,129554
09775000,2020,0.472,0.5484,,,,,,,CSU/Junge Union Bayern,0.5484,Landratswahl,hauptwahl,63681,134915
09775000,2024,0.3688,,,,,,,,Christlich-Soziale Union/Junge Union,0.4108,Landratswahl,hauptwahl,50416,136705
09775000,2024,0.2813,,,,,,,,Christlich-Soziale Union/Junge Union,0.671,Landratswahl,stichwahl,38377,136433
09776000,1945,,,,,,,,,,,Landratswahl,hauptwahl,,
09776000,1946,,,,,,,,,,,Landratswahl,hauptwahl,,
09776000,1950,,,,,,,,,,1,Landratswahl,hauptwahl,,
09776000,1952,0.8391,0.9842,,,,,,,CSU/BP/Königspartei/Parteilose Liste/F.D.P.,0.9842,Landratswahl,hauptwahl,20634,24591
09776000,1953,0.3839,0.9751,,,,,,,CSU/F.D.P.,0.9751,Landratswahl,hauptwahl,9445,24601
09776000,1959,0.4798,0.9902,,,,,,,CSU,0.9902,Landratswahl,hauptwahl,12225,25480
09776000,1965,0.7532,,,,,,,,Parteilose Liste/F.D.P.,0.5451,Landratswahl,hauptwahl,20555,27292
09776000,1971,0.4036,,,,,,,,Parteilose Liste/Freie Wählervereinigung,0.9787,Landratswahl,hauptwahl,12336,30568
09776000,1972,0.7203,0.5629,,,,,,,CSU,0.5629,Landratswahl,hauptwahl,33674,46752
09776000,1978,0.7221,0.7621,,,,,,,CSU,0.7621,Landratswahl,hauptwahl,35219,48771
09776000,1984,0.6954,0.6254,,,,,,,CSU,0.6254,Landratswahl,hauptwahl,35639,51248
09776000,1990,0.7107,0.5585,,,,,,,CSU,0.5585,Landratswahl,hauptwahl,37912,53345
09776000,1996,0.6579,0.468,,,,,,,CSU,0.468,Landratswahl,hauptwahl,36164,54970
09776000,1996,0.4708,0.5979,,,,,,,CSU,0.5979,Landratswahl,stichwahl,25878,54965
09776000,2002,0.6116,0.4617,,,,,,,CSU,0.4617,Landratswahl,hauptwahl,35624,58248
09776000,2002,0.4577,,0.5194,,,,,,SPD,0.5194,Landratswahl,stichwahl,26648,58222
09776000,2008,0.557,0.4205,,,,,,,CSU,0.4205,Landratswahl,hauptwahl,34248,61482
09776000,2008,0.3916,0.5287,,,,,,,CSU,0.5287,Landratswahl,stichwahl,24060,61442
09776000,2014,0.5048,0.941,,,,,,,CSU,0.941,Landratswahl,hauptwahl,31959,63310
09776000,2020,0.5519,0.9246,,,,,,,CSU,0.9246,Landratswahl,hauptwahl,36039,65297
09776000,2026,0.6283,0.5409,,,,,,,CSU,0.5409,Landratswahl,hauptwahl,41093,65406
09777000,1945,,,,,,,,,,,Landratswahl,hauptwahl,,
09777000,1946,,,,,,,,,,,Landratswahl,hauptwahl,,
09777000,1946,,,,,,,,,Part.lo.,0.9333,Landratswahl,hauptwahl,30,
09777000,1948,0.95,,,,,,,,Part.lo.,1,Landratswahl,hauptwahl,38,40
09777000,1950,0.95,,,,,,,,,0.6053,Landratswahl,hauptwahl,38,40
09777000,1952,0.8597,,,,,,,,Wgem.,0.9828,Landratswahl,hauptwahl,22678,26380
09777000,1958,0.7661,,,,,,,,Überp. Chr. Wgr.,0.5798,Landratswahl,hauptwahl,19202,25063
09777000,1962,0.5848,0.9846,,,,,,,CSU,0.9846,Landratswahl,hauptwahl,15166,25933
09777000,1968,0.5857,0.9907,,,,,,,CSU,0.9907,Landratswahl,hauptwahl,15457,26390
09777000,1972,0.789,0.9513,,,,,,,CSU,0.9513,Landratswahl,hauptwahl,57811,73273
09777000,1978,0.782,0.9717,,,,,,,CSU/FWO,0.9717,Landratswahl,hauptwahl,61254,78326
09777000,1984,0.743,0.9057,,,,,,,CSU/FWO,0.9057,Landratswahl,hauptwahl,62274,83818
09777000,1990,0.7625,0.8304,,,,,,,CSU/FWO,0.8304,Landratswahl,hauptwahl,67690,88771
09777000,1996,0.6792,0.8161,,,,,,,CSU/FWO,0.8161,Landratswahl,hauptwahl,63257,93134
09777000,2002,0.6499,0.436,,,,,,,CSU,0.436,Landratswahl,hauptwahl,64414,99107
09777000,2002,0.4965,,,,,,,,FWO,0.5862,Landratswahl,stichwahl,49161,99015
09777000,2008,0.6399,,,,,,,,Freie Wählergemeinschaft e.V.,0.5666,Landratswahl,hauptwahl,66279,103584
09777000,2014,0.6005,0.4028,,,,,,,CSU,0.4028,Landratswahl,hauptwahl,64315,107107
09777000,2014,0.466,0.5384,,,,,,,CSU,0.5384,Landratswahl,stichwahl,49841,106963
09777000,2020,0.6352,0.5561,,,,,,,CSU,0.5561,Landratswahl,hauptwahl,70869,111574
09777000,2026,0.6823,0.3968,,,,,,,CSU,0.3968,Landratswahl,hauptwahl,77531,113638
09777000,2026,0.4465,,,,,,,,FREIE WÄHLER/Freie Wählergemeinschaft Ostallgäu e.V.,0.5241,Landratswahl,stichwahl,50668,113473
09778000,1948,,0.9677,,,,,,,CSU,0.9677,Landratswahl,hauptwahl,,45
09778000,1952,0.8789,0.6984,,,,,,,CSU,0.6984,Landratswahl,hauptwahl,32162,36594
09778000,1955,0.5944,0.5524,,,,,,,CSU,0.5524,Landratswahl,hauptwahl,20621,34693
09778000,1961,0.6437,0.6487,,,,,,,CSU,0.6487,Landratswahl,hauptwahl,22267,34590
09778000,1967,0.714,,,,,,,,Fr. Wver.,0.3964,Landratswahl,hauptwahl,24881,34845
09778000,1967,0.6569,,,,,,,,Fr. Wver.,0.5919,Landratswahl,stichwahl,22891,34845
09778000,1972,0.8089,,,,,,,,Fr. Wver.,0.5224,Landratswahl,hauptwahl,63139,78054
09778000,1978,0.809,0.5038,,,,,,,CSU,0.5038,Landratswahl,hauptwahl,65496,80963
