ags,election_year,turnout,cdu_csu,spd,gruene,fdp,linke_pds,afd,bsw,number_voters,eligible_voters
01051132,2008,0.5026,0.4301,0.2688,0.0323,0.1344,0.078,,,386,768
01051132,2013,0.4625,0.394,0.3045,0.0985,0.0507,0.0119,,,339,733
01051132,2018,0.442,,,,,,,,324,733
01051132,2023,0.4817,,,,,,,,355,737
01051133,1994,0.7874,0.59,0.21,0.04,0.03,,,,100,127
01051133,1998,0.7609,0.5865,0.2308,0.125,0.0288,,,,105,138
01051133,2003,0.7183,0.7525,0.1287,0.0297,0.0495,,,,102,142
01051133,2008,0.6842,0.6374,0.0989,0.0989,0.1319,,,,91,133
01051133,2013,0.9021,0.632,0.224,0.064,0.016,,,,129,143
01051133,2018,0.7536,,,,,,,,104,138
01051133,2023,0.748,,,,,,,,95,127
01051134,1994,0.7943,0.5626,0.331,0.0331,0.0071,,,,444,559
01051134,1998,0.75,0.5099,0.3289,0.0066,0.0397,,,,465,620
01051134,2003,0.675,0.5788,0.2518,0.0306,0.0282,,,,432,640
01051134,2008,0.6101,0.5,0.2233,0.0558,0.0631,0.0364,,,421,690
01051134,2013,0.6443,0.4366,0.2207,0.0962,0.0258,0.0211,,,433,672
01051134,2018,0.5828,,,,,,,,380,652
01051134,2023,0.63,,,,,,,,395,627
01051135,1994,0.7298,0.4205,0.3636,0.0625,0.0398,,,,181,248
01051135,1998,0.7846,0.3793,0.3744,0.0493,0.0739,,,,204,260
01051135,2003,0.8108,0.5833,0.1961,0.0882,0.049,,,,210,259
01051135,2008,0.7126,0.3908,0.1034,0.0805,0.2356,0.1034,,,186,261
01051135,2013,0.6906,0.3936,0.2128,0.1809,0.1117,0.0213,,,192,278
01051135,2018,0.7071,,,,,,,,198,280
01051135,2023,0.7273,,,,,,,,200,275
01051136,1994,0.8283,0.6071,0.2539,0.0464,0.0243,,,,463,559
01051136,1998,0.7665,0.6368,0.25,0.0354,0.0165,,,,430,561
01051136,2003,0.6276,0.7474,0.1598,0.018,0.0258,,,,391,623
01051136,2008,0.5593,0.6646,0.1056,0.0217,0.087,0.0404,,,330,590
01051136,2013,0.5859,0.6409,0.1929,0.0653,0.0564,0.0089,,,348,594
